fips,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
04019,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04021,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04023,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04025,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
04027,3.6,3.26,3.42,4.79,6.23,6.49,6.54,6.91,8.53,9.9,10.49,10.47,8.19,7.54,6.86,5.78,6.29,7.52,6.78,5.79,6.47,5.98,4.12,3.94,6.41,7.48,
05001,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05003,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05005,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05007,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05009,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05011,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05013,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05015,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05017,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05019,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05021,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05023,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05025,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05027,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05029,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05031,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05033,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05035,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05037,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05039,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05041,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05043,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05045,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05047,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05049,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05051,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05053,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05055,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05057,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05059,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05061,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05063,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05065,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05067,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05069,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05071,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05073,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05075,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05077,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
05079,3.71,3.48,3.45,5.23,6.38,5.64,6.94,8.03,9.44,9.51,9.51,10.56,8.44,7.28,7.44,6.38,6.74,6.99,6.91,5.78,6.65,6.78,6.25,6.25,7.76,10.46,9.7
