fips,2020,2021,2022,2023
12007,71.6412,76.0635,93.7527,67.598
12009,71.6412,76.0635,93.7527,67.598
12011,71.6412,76.0635,93.7527,67.598
12013,71.6412,76.0635,93.7527,67.598
12015,71.6412,76.0635,93.7527,67.598
12017,71.6412,76.0635,93.7527,67.598
12019,71.6412,76.0635,93.7527,67.598
12021,71.6412,76.0635,93.7527,67.598
12023,71.6412,76.0635,93.7527,67.598
12027,71.6412,76.0635,93.7527,67.598
12029,71.6412,76.0635,93.7527,67.598
12031,71.6412,76.0635,93.7527,67.598
12033,71.6412,76.0635,93.7527,67.598
12035,71.6412,76.0635,93.7527,67.598
12037,71.6412,76.0635,93.7527,67.598
12039,71.6412,76.0635,93.7527,67.598
12041,71.6412,76.0635,93.7527,67.598
12043,71.6412,76.0635,93.7527,67.598
12045,71.6412,76.0635,93.7527,67.598
12047,71.6412,76.0635,93.7527,67.598
12049,71.6412,76.0635,93.7527,67.598
12051,71.6412,76.0635,93.7527,67.598
12053,71.6412,76.0635,93.7527,67.598
12055,71.6412,76.0635,93.7527,67.598
12057,71.6412,76.0635,93.7527,67.598
12059,71.6412,76.0635,93.7527,67.598
12061,71.6412,76.0635,93.7527,67.598
12063,71.6412,76.0635,93.7527,67.598
12065,71.6412,76.0635,93.7527,67.598
12067,71.6412,76.0635,93.7527,67.598
12069,71.6412,76.0635,93.7527,67.598
12071,71.6412,76.0635,93.7527,67.598
12073,71.6412,76.0635,93.7527,67.598
12075,71.6412,76.0635,93.7527,67.598
12077,71.6412,76.0635,93.7527,67.598
12079,71.6412,76.0635,93.7527,67.598
12081,71.6412,76.0635,93.7527,67.598
12083,71.6412,76.0635,93.7527,67.598
12085,71.6412,76.0635,93.7527,67.598
12086,71.6412,76.0635,93.7527,67.598
12087,71.6412,76.0635,93.7527,67.598
12089,71.6412,76.0635,93.7527,67.598
12091,71.6412,76.0635,93.7527,67.598
12093,71.6412,76.0635,93.7527,67.598
12095,71.6412,76.0635,93.7527,67.598
12097,71.6412,76.0635,93.7527,67.598
12099,71.6412,76.0635,93.7527,67.598
12101,71.6412,76.0635,93.7527,67.598
12103,71.6412,76.0635,93.7527,67.598
12105,71.6412,76.0635,93.7527,67.598
12107,71.6412,76.0635,93.7527,67.598
12109,71.6412,76.0635,93.7527,67.598
12111,71.6412,76.0635,93.7527,67.598
12113,71.6412,76.0635,93.7527,67.598
12115,71.6412,76.0635,93.7527,67.598
12117,71.6412,76.0635,93.7527,67.598
12119,71.6412,76.0635,93.7527,67.598
12121,71.6412,76.0635,93.7527,67.598
12123,71.6412,76.0635,93.7527,67.598
12125,71.6412,76.0635,93.7527,67.598
12127,71.6412,76.0635,93.7527,67.598
12129,71.6412,76.0635,93.7527,67.598
12131,71.6412,76.0635,93.7527,67.598
12133,71.6412,76.0635,93.7527,67.598
13001,64.1865,72.7784,89.7095,66.9662
13003,64.1865,72.7784,89.7095,66.9662
13005,64.1865,72.7784,89.7095,66.9662
13007,64.1865,72.7784,89.7095,66.9662
13009,64.1865,72.7784,89.7095,66.9662
13011,64.1865,72.7784,89.7095,66.9662
13013,64.1865,72.7784,89.7095,66.9662
13015,64.1865,72.7784,89.7095,66.9662
13017,64.1865,72.7784,89.7095,66.9662
13019,64.1865,72.7784,89.7095,66.9662
13021,64.1865,72.7784,89.7095,66.9662
13023,64.1865,72.7784,89.7095,66.9662
13025,64.1865,72.7784,89.7095,66.9662
13027,64.1865,72.7784,89.7095,66.9662
13029,64.1865,72.7784,89.7095,66.9662
13031,64.1865,72.7784,89.7095,66.9662
13033,64.1865,72.7784,89.7095,66.9662
13035,64.1865,72.7784,89.7095,66.9662
13037,64.1865,72.7784,89.7095,66.9662
13039,64.1865,72.7784,89.7095,66.9662
13043,64.1865,72.7784,89.7095,66.9662
13045,64.1865,72.7784,89.7095,66.9662
13047,64.1865,72.7784,89.7095,66.9662
13049,64.1865,72.7784,89.7095,66.9662
13051,64.1865,72.7784,89.7095,66.9662
13053,64.1865,72.7784,89.7095,66.9662
13055,64.1865,72.7784,89.7095,66.9662
13057,64.1865,72.7784,89.7095,66.9662
13059,64.1865,72.7784,89.7095,66.9662
13061,64.1865,72.7784,89.7095,66.9662
13063,64.1865,72.7784,89.7095,66.9662
13065,64.1865,72.7784,89.7095,66.9662
13067,64.1865,72.7784,89.7095,66.9662
13069,64.1865,72.7784,89.7095,66.9662
