fips,2022,2023,2024
13169,265.334,124.75,99.75
13171,265.334,124.75,99.75
13173,265.334,124.75,99.75
13175,265.334,124.75,99.75
13177,265.334,124.75,99.75
13179,265.334,124.75,99.75
13181,265.334,124.75,99.75
13183,265.334,124.75,99.75
13185,265.334,124.75,99.75
13187,265.334,124.75,99.75
13189,265.334,124.75,99.75
13191,265.334,124.75,99.75
13193,265.334,124.75,99.75
13195,265.334,124.75,99.75
13197,265.334,124.75,99.75
13199,265.334,124.75,99.75
13201,265.334,124.75,99.75
13205,265.334,124.75,99.75
13207,265.334,124.75,99.75
13209,265.334,124.75,99.75
13211,265.334,124.75,99.75
13213,265.334,124.75,99.75
13215,265.334,124.75,99.75
13217,265.334,124.75,99.75
13219,265.334,124.75,99.75
13221,265.334,124.75,99.75
13223,265.334,124.75,99.75
13225,265.334,124.75,99.75
13227,265.334,124.75,99.75
13229,265.334,124.75,99.75
13231,265.334,124.75,99.75
13233,265.334,124.75,99.75
13235,265.334,124.75,99.75
13237,265.334,124.75,99.75
13239,265.334,124.75,99.75
13241,265.334,124.75,99.75
13243,265.334,124.75,99.75
13245,265.334,124.75,99.75
13247,265.334,124.75,99.75
13249,265.334,124.75,99.75
13251,265.334,124.75,99.75
13253,265.334,124.75,99.75
13255,265.334,124.75,99.75
13257,265.334,124.75,99.75
13259,265.334,124.75,99.75
13261,265.334,124.75,99.75
13263,265.334,124.75,99.75
13265,265.334,124.75,99.75
13267,265.334,124.75,99.75
13269,265.334,124.75,99.75
13271,265.334,124.75,99.75
13273,265.334,124.75,99.75
13275,265.334,124.75,99.75
13277,265.334,124.75,99.75
13279,265.334,124.75,99.75
13281,265.334,124.75,99.75
13283,265.334,124.75,99.75
13285,265.334,124.75,99.75
13287,265.334,124.75,99.75
13289,265.334,124.75,99.75
13291,265.334,124.75,99.75
13293,265.334,124.75,99.75
13295,265.334,124.75,99.75
13297,265.334,124.75,99.75
13299,265.334,124.75,99.75
13301,265.334,124.75,99.75
13303,265.334,124.75,99.75
13305,265.334,124.75,99.75
13307,265.334,124.75,99.75
13309,265.334,124.75,99.75
13311,265.334,124.75,99.75
13313,265.334,124.75,99.75
13315,265.334,124.75,99.75
13317,265.334,124.75,99.75
13319,265.334,124.75,99.75
13321,265.334,124.75,99.75
16001,265.334,124.75,99.75
16003,265.334,124.75,99.75
16005,265.334,124.75,99.75
16007,265.334,124.75,99.75
16009,265.334,124.75,99.75
16011,265.334,124.75,99.75
16013,265.334,124.75,99.75
16015,265.334,124.75,99.75
16017,265.334,124.75,99.75
16019,265.334,124.75,99.75
16021,265.334,124.75,99.75
16023,265.334,124.75,99.75
16025,265.334,124.75,99.75
16027,265.334,124.75,99.75
16029,265.334,124.75,99.75
16031,265.334,124.75,99.75
16033,265.334,124.75,99.75
16035,265.334,124.75,99.75
16037,265.334,124.75,99.75
16039,265.334,124.75,99.75
16041,265.334,124.75,99.75
16043,265.334,124.75,99.75
16045,265.334,124.75,99.75
16047,265.334,124.75,99.75
16049,265.334,124.75,99.75
16051,265.334,124.75,99.75
16053,265.334,124.75,99.75
16055,265.334,124.75,99.75
16057,265.334,124.75,99.75
16059,265.334,124.75,99.75
16061,265.334,124.75,99.75
16063,265.334,124.75,99.75
16065,265.334,124.75,99.75
16067,265.334,124.75,99.75
16069,265.334,124.75,99.75
16071,265.334,124.75,99.75
16073,265.334,124.75,99.75
16075,265.334,124.75,99.75
16077,265.334,124.75,99.75
