Average retail price of electricity,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=vvvvvvvvvvvvo&endsec=4&linechart=ELEC.PRICE.US-COM.A&columnchart=ELEC.PRICE.US-COM.A&map=ELEC.PRICE.US-COM.A&freq=A&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,,,,,,,,,,,,,,,,,,,,,,,
Thu Dec 12 2024 11:58:51 GMT-0700 (Mountain Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Commercial : New Mexico,cents per kilowatthour,ELEC.PRICE.NM-COM.A,7.5,7.22,7.36,7.39,7.81,7.61,7.66,8.67,8.4,8.57,9.07,9.32,9.74,10.27,10.3,9.75,10.19,10.02,9.79,10.28,10.8,11.07,10.68
Commercial : Utah,cents per kilowatthour,ELEC.PRICE.UT-COM.A,5.58,5.6,5.59,5.9,6.07,6.15,6.54,6.66,6.96,7.15,7.35,8.06,8.32,8.53,8.62,8.75,8.64,8.23,8.26,8.27,8.13,8.39,8.51
Commercial : Wyoming,cents per kilowatthour,ELEC.PRICE.WY-COM.A,5.41,5.71,5.74,5.98,6.17,6.28,6.25,6.71,7.28,7.42,7.72,8.24,8.57,8.88,9.12,9.4,9.7,9.58,9.64,9.65,9.68,9.55,8.94
Commercial : Pacific Contiguous,cents per kilowatthour,ELEC.PRICE.PCC-COM.A,10.23,11.41,10.69,10.19,10.42,11.22,11.19,11.04,11.59,11.58,11.61,11.92,12.49,13.6,13.71,13.27,13.76,14.2,14.42,15.07,16.23,18.24,19.42
Commercial : California,cents per kilowatthour,ELEC.PRICE.CA-COM.A,12.15,13.36,12.48,11.64,11.92,12.9,12.82,12.54,13.27,13.09,13.05,13.41,14.2,15.62,15.73,15.07,15.76,16.34,16.67,17.53,19.18,21.81,23.91
Commercial : Oregon,cents per kilowatthour,ELEC.PRICE.OR-COM.A,5.45,6.59,6.38,6.45,6.51,6.77,7.2,7.29,7.5,7.59,8.15,8.31,8.68,8.75,8.8,8.91,8.86,8.91,8.85,9,9.1,9.35,9.92
Commercial : Washington,cents per kilowatthour,ELEC.PRICE.WA-COM.A,5.45,6.11,6.07,6.17,6.33,6.63,6.55,6.77,6.97,7.37,7.49,7.68,7.78,7.97,8.22,8.43,8.57,8.72,8.75,8.92,9.14,9.49,9.92
Commercial : Pacific Noncontiguous,cents per kilowatthour,ELEC.PRICE.PCN-COM.A,12.9,12.46,13.15,14.02,15.76,17.18,17.58,22.5,18.48,20.45,24.45,25.5,25.49,26.29,22.51,21.33,23.09,24.62,24.86,24.13,25.48,30.61,30.28
Commercial : Alaska,cents per kilowatthour,ELEC.PRICE.AK-COM.A,10.29,10.13,10.49,10.99,11.56,11.93,12.19,13.64,14.46,13.95,15.1,14.93,15.58,17.09,17.44,17.56,18.89,18.58,19.8,19.58,19.61,20.06,20.87
Commercial : Hawaii,cents per kilowatthour,ELEC.PRICE.HI-COM.A,14.81,14.11,15.02,16.19,19.04,21.42,21.91,29.72,21.86,25.93,32.37,34.88,34.05,34.21,26.93,24.64,26.77,29.9,29.23,28.41,30.88,40.18,39.03
