fips,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01045,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01047,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01049,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01051,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01053,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01055,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01057,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01059,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01061,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01063,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01065,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01067,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01069,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01071,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01073,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01075,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01077,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01079,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01081,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01083,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01085,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01087,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01089,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01091,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01093,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01095,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01097,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01099,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01101,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01103,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01105,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01107,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01109,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01111,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
