fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
05017,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05019,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05021,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05023,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05025,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05027,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05029,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05031,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05033,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05035,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05037,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05039,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05041,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05043,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05045,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05047,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05049,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05051,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05053,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05055,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05057,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05059,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
05061,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
