fips,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01109,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01111,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01113,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01115,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01117,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01119,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01121,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01123,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01125,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01127,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01129,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01131,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01133,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
04001,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04003,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04005,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04007,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04009,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04011,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04012,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04013,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04015,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04017,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04019,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04021,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04023,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04025,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
04027,0.083,0.0827,0.0835,0.0846,0.0886,0.094,0.0966,0.1027,0.1073,0.1097,0.1108,0.1129,0.1171,0.119,0.1213,0.1215,0.1244,0.1277,0.1243,0.1227,0.1254,0.1302,0.1402
