fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
04005,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
04007,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
04009,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
04011,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
04012,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
04013,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
04015,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
04017,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
04019,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
04021,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
04023,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
04025,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
04027,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05001,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05003,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05005,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05007,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
05009,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
