fips,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
05023,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05025,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05027,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05029,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05031,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05033,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05035,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05037,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05039,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05041,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05043,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05045,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05047,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05049,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05051,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05053,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05055,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05057,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05059,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05061,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05063,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05065,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05067,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05069,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05071,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05073,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05075,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05077,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05079,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05081,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05083,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05085,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05087,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05089,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05091,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05093,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05095,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05097,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05099,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05101,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05103,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05105,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05107,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05109,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05111,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05113,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05115,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05117,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05119,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05121,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05123,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05125,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05127,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05129,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05131,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05133,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05135,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05137,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05139,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05141,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05143,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05145,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05147,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
05149,"1,200","1,250","1,250","1,220","1,650","1,780","1,560","1,460","1,260","1,040","1,050","1,120","1,300","1,330","1,760"
06001,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06003,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06005,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06007,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06009,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06011,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06013,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06015,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06017,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06019,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06021,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06023,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06025,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06027,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
06029,"1,300","1,330","1,330","1,200","1,830","2,030","1,750","1,600","1,330","1,230","1,350","1,350","1,590","1,740","2,050"
