fips,2013,2018,2023
20019,47.16,41.55,35.65
20021,47.16,41.55,35.65
20023,47.16,41.55,35.65
20025,47.16,41.55,35.65
20027,47.16,41.55,35.65
20029,47.16,41.55,35.65
20031,47.16,41.55,35.65
20033,47.16,41.55,35.65
20035,47.16,41.55,35.65
20037,47.16,41.55,35.65
20039,47.16,41.55,35.65
20041,47.16,41.55,35.65
20043,47.16,41.55,35.65
20045,47.16,41.55,35.65
20047,47.16,41.55,35.65
20049,47.16,41.55,35.65
20051,47.16,41.55,35.65
20053,47.16,41.55,35.65
20055,47.16,41.55,35.65
20057,47.16,41.55,35.65
20059,47.16,41.55,35.65
20061,47.16,41.55,35.65
20063,47.16,41.55,35.65
20065,47.16,41.55,35.65
20067,47.16,41.55,35.65
20069,47.16,41.55,35.65
20071,47.16,41.55,35.65
20073,47.16,41.55,35.65
20075,47.16,41.55,35.65
20077,47.16,41.55,35.65
20079,47.16,41.55,35.65
20081,47.16,41.55,35.65
20083,47.16,41.55,35.65
20085,47.16,41.55,35.65
20087,47.16,41.55,35.65
20089,47.16,41.55,35.65
20091,47.16,41.55,35.65
20093,47.16,41.55,35.65
20095,47.16,41.55,35.65
20097,47.16,41.55,35.65
20099,47.16,41.55,35.65
20101,47.16,41.55,35.65
20103,47.16,41.55,35.65
20105,47.16,41.55,35.65
20107,47.16,41.55,35.65
20109,47.16,41.55,35.65
20111,47.16,41.55,35.65
20113,47.16,41.55,35.65
20115,47.16,41.55,35.65
20117,47.16,41.55,35.65
20119,47.16,41.55,35.65
20121,47.16,41.55,35.65
20123,47.16,41.55,35.65
20125,47.16,41.55,35.65
20127,47.16,41.55,35.65
20129,47.16,41.55,35.65
20131,47.16,41.55,35.65
20133,47.16,41.55,35.65
20135,47.16,41.55,35.65
20137,47.16,41.55,35.65
