fips,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
08013,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08014,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08015,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08017,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08019,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08021,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08023,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08025,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08027,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08029,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08031,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08033,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08035,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08037,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08039,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08041,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08043,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08045,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08047,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08049,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08051,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08053,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08055,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08057,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08059,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08061,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08063,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08065,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08067,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
08069,2.141,1.944833,1.934167,2.313833,2.192667,1.918667,1.6645,2.229167,2.517333,2.350667,2.345
